label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Effacé,1269,348,121,98,WIN_20221204_18_01_13_Pro.jpg,1920,1080
Effacé,1130,438,65,119,WIN_20221204_18_01_13_Pro.jpg,1920,1080
Effacé,1255,595,100,65,WIN_20221204_18_01_13_Pro.jpg,1920,1080
Décalé,1099,372,145,285,WIN_20221204_18_01_13_Pro.jpg,1920,1080
Oréo,1097,333,381,346,WIN_20221204_18_01_13_Pro.jpg,1920,1080
Décalé,610,567,264,119,WIN_20221204_18_01_17_Pro.jpg,1920,1080
Effacé,620,358,115,111,WIN_20221204_18_01_17_Pro.jpg,1920,1080
Effacé,819,534,96,106,WIN_20221204_18_01_17_Pro.jpg,1920,1080
Effacé,620,524,109,117,WIN_20221204_18_01_17_Pro.jpg,1920,1080
Oréo,596,341,340,344,WIN_20221204_18_01_17_Pro.jpg,1920,1080
Mangé,917,135,184,197,WIN_20221204_18_01_20_Pro.jpg,1920,1080
Effacé,1152,231,96,98,WIN_20221204_18_01_20_Pro.jpg,1920,1080
Effacé,1007,157,84,84,WIN_20221204_18_01_20_Pro.jpg,1920,1080
Effacé,940,319,102,94,WIN_20221204_18_01_20_Pro.jpg,1920,1080
Oréo,917,135,344,346,WIN_20221204_18_01_20_Pro.jpg,1920,1080
Oréo,1083,387,370,354,WIN_20221204_18_01_23_Pro.jpg,1920,1080
Effacé,1163,425,205,156,WIN_20221204_18_01_23_Pro.jpg,1920,1080
Décalé,1083,477,211,264,WIN_20221204_18_01_23_Pro.jpg,1920,1080
Décalé,546,315,117,254,WIN_20221204_18_01_26_Pro.jpg,1920,1080
Effacé,686,364,129,194,WIN_20221204_18_01_26_Pro.jpg,1920,1080
Oréo,546,309,340,330,WIN_20221204_18_01_26_Pro.jpg,1920,1080
Effacé,1193,384,178,143,WIN_20221204_18_01_30_Pro.jpg,1920,1080
Décalé,1427,288,90,276,WIN_20221204_18_01_30_Pro.jpg,1920,1080
Oréo,1150,255,364,338,WIN_20221204_18_01_30_Pro.jpg,1920,1080
Effacé,1386,282,131,133,WIN_20221204_18_01_45_Pro.jpg,1920,1080
Oréo,1339,266,383,354,WIN_20221204_18_01_45_Pro.jpg,1920,1080
Effacé,796,556,127,129,WIN_20221204_18_01_48_Pro.jpg,1920,1080
Oréo,792,403,336,336,WIN_20221204_18_01_48_Pro.jpg,1920,1080
Effacé,982,143,139,86,WIN_20221204_18_01_51_Pro.jpg,1920,1080
Oréo,882,129,338,338,WIN_20221204_18_01_51_Pro.jpg,1920,1080
Effacé,1361,456,104,86,WIN_20221204_18_01_53_Pro.jpg,1920,1080
Effacé,1545,554,59,143,WIN_20221204_18_01_53_Pro.jpg,1920,1080
Effacé,1394,712,123,59,WIN_20221204_18_01_53_Pro.jpg,1920,1080
Oréo,1244,446,379,344,WIN_20221204_18_01_53_Pro.jpg,1920,1080
Effacé,649,775,125,76,WIN_20221204_18_01_56_Pro.jpg,1920,1080
Effacé,815,657,80,102,WIN_20221204_18_01_56_Pro.jpg,1920,1080
Effacé,598,649,70,98,WIN_20221204_18_01_56_Pro.jpg,1920,1080
Oréo,583,528,334,336,WIN_20221204_18_01_56_Pro.jpg,1920,1080
Effacé,1015,98,113,68,WIN_20221204_18_02_05_Pro.jpg,1920,1080
Effacé,1140,210,59,108,WIN_20221204_18_02_05_Pro.jpg,1920,1080
Effacé,890,182,98,109,WIN_20221204_18_02_05_Pro.jpg,1920,1080
Oréo,878,79,338,352,WIN_20221204_18_02_05_Pro.jpg,1920,1080
Oréo,1283,333,393,354,WIN_20221204_18_02_10_Pro.jpg,1920,1080
Effacé,1343,421,125,178,WIN_20221204_18_02_10_Pro.jpg,1920,1080
Effacé,765,344,166,108,WIN_20221204_18_02_13_Pro.jpg,1920,1080
Oréo,706,300,332,323,WIN_20221204_18_02_13_Pro.jpg,1920,1080
Effacé,1468,339,139,164,WIN_20221204_18_02_16_Pro.jpg,1920,1080
Oréo,1279,288,381,352,WIN_20221204_18_02_16_Pro.jpg,1920,1080
Effacé,1255,442,82,96,WIN_20221204_18_02_19_Pro.jpg,1920,1080
Effacé,1380,319,94,78,WIN_20221204_18_02_19_Pro.jpg,1920,1080
Oréo,1152,305,371,346,WIN_20221204_18_02_19_Pro.jpg,1920,1080
Effacé,804,454,51,102,WIN_20221204_18_02_21_Pro.jpg,1920,1080
Effacé,614,399,82,94,WIN_20221204_18_02_21_Pro.jpg,1920,1080
Oréo,526,321,346,334,WIN_20221204_18_02_21_Pro.jpg,1920,1080
Oréo,974,10,346,356,WIN_20221204_18_02_25_Pro.jpg,1920,1080
Effacé,1120,86,88,92,WIN_20221204_18_02_25_Pro.jpg,1920,1080
Effacé,1113,294,104,57,WIN_20221204_18_02_25_Pro.jpg,1920,1080
Effacé,1163,571,65,131,WIN_20221204_18_02_31_Pro.jpg,1920,1080
Effacé,1421,552,74,133,WIN_20221204_18_02_31_Pro.jpg,1920,1080
Oréo,1144,493,373,358,WIN_20221204_18_02_31_Pro.jpg,1920,1080
Effacé,786,343,92,41,WIN_20221204_18_02_34_Pro.jpg,1920,1080
Effacé,876,565,90,66,WIN_20221204_18_02_34_Pro.jpg,1920,1080
Oréo,682,335,328,328,WIN_20221204_18_02_34_Pro.jpg,1920,1080
Effacé,1486,231,74,119,WIN_20221204_18_02_37_Pro.jpg,1920,1080
Effacé,1249,434,106,78,WIN_20221204_18_02_37_Pro.jpg,1920,1080
Oréo,1208,192,362,350,WIN_20221204_18_02_37_Pro.jpg,1920,1080
Effacé,1030,532,82,102,WIN_20221204_18_02_44_Pro.jpg,1920,1080
Effacé,1044,413,72,90,WIN_20221204_18_02_44_Pro.jpg,1920,1080
Effacé,1210,450,123,127,WIN_20221204_18_02_44_Pro.jpg,1920,1080
Oréo,1034,374,342,338,WIN_20221204_18_02_44_Pro.jpg,1920,1080
Effacé,585,517,127,123,WIN_20221204_18_02_47_Pro.jpg,1920,1080
Effacé,604,374,106,66,WIN_20221204_18_02_47_Pro.jpg,1920,1080
Effacé,487,386,96,78,WIN_20221204_18_02_47_Pro.jpg,1920,1080
Oréo,448,370,338,327,WIN_20221204_18_02_47_Pro.jpg,1920,1080
Effacé,1038,290,145,111,WIN_20221204_18_02_50_Pro.jpg,1920,1080
Effacé,1134,120,117,66,WIN_20221204_18_02_50_Pro.jpg,1920,1080
Effacé,1230,202,63,98,WIN_20221204_18_02_50_Pro.jpg,1920,1080
Oréo,954,110,344,340,WIN_20221204_18_02_50_Pro.jpg,1920,1080
Fissure,1300,301,211,53,WIN_20221204_18_02_55_Pro.jpg,1920,1080
Oréo,1222,292,381,356,WIN_20221204_18_02_55_Pro.jpg,1920,1080
Fissure,800,247,94,192,WIN_20221204_18_02_58_Pro.jpg,1920,1080
