label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Oréo,663,462,334,348,WIN_20221204_17_37_06_Pro.jpg,1920,1080
Oréo,735,57,338,358,WIN_20221204_17_37_13_Pro.jpg,1920,1080
Décalé,1283,423,285,111,WIN_20221204_17_37_17_Pro.jpg,1920,1080
Oréo,1273,425,373,360,WIN_20221204_17_37_17_Pro.jpg,1920,1080
Décalé,933,470,102,268,WIN_20221204_17_37_23_Pro.jpg,1920,1080
Oréo,940,399,354,346,WIN_20221204_17_37_23_Pro.jpg,1920,1080
Oréo,635,143,342,352,WIN_20221204_17_37_26_Pro.jpg,1920,1080
Oréo,882,18,342,346,WIN_20221204_17_37_31_Pro.jpg,1920,1080
Oréo,1120,362,381,356,WIN_20221204_17_37_37_Pro.jpg,1920,1080
Oréo,768,366,338,334,WIN_20221204_17_37_40_Pro.jpg,1920,1080
Oréo,635,108,338,340,WIN_20221204_17_37_43_Pro.jpg,1920,1080
Oréo,1032,290,346,350,WIN_20221204_17_37_47_Pro.jpg,1920,1080
Oréo,790,518,338,346,WIN_20221204_17_37_50_Pro.jpg,1920,1080
Oréo,559,595,340,360,WIN_20221204_17_37_54_Pro.jpg,1920,1080
Effacé,1509,65,135,106,WIN_20221204_17_38_18_Pro.jpg,1920,1080
Effacé,1705,118,129,149,WIN_20221204_17_38_18_Pro.jpg,1920,1080
Effacé,1592,307,131,78,WIN_20221204_17_38_18_Pro.jpg,1920,1080
Oréo,1445,45,397,360,WIN_20221204_17_38_18_Pro.jpg,1920,1080
Effacé,854,706,102,96,WIN_20221204_17_38_22_Pro.jpg,1920,1080
Effacé,1021,595,127,147,WIN_20221204_17_38_22_Pro.jpg,1920,1080
Effacé,907,475,141,66,WIN_20221204_17_38_22_Pro.jpg,1920,1080
Oréo,825,477,327,330,WIN_20221204_17_38_22_Pro.jpg,1920,1080
Effacé,493,272,80,127,WIN_20221204_17_38_26_Pro.jpg,1920,1080
Effacé,616,327,158,151,WIN_20221204_17_38_26_Pro.jpg,1920,1080
Effacé,692,170,108,108,WIN_20221204_17_38_26_Pro.jpg,1920,1080
Oréo,487,153,342,338,WIN_20221204_17_38_26_Pro.jpg,1920,1080
Effacé,604,726,172,172,WIN_20221204_17_38_31_Pro.jpg,1920,1080
Effacé,579,552,133,111,WIN_20221204_17_38_31_Pro.jpg,1920,1080
Oréo,553,556,348,348,WIN_20221204_17_38_31_Pro.jpg,1920,1080
Effacé,1027,376,72,141,WIN_20221204_17_38_35_Pro.jpg,1920,1080
Effacé,1111,489,196,170,WIN_20221204_17_38_35_Pro.jpg,1920,1080
Oréo,1025,323,344,338,WIN_20221204_17_38_35_Pro.jpg,1920,1080
Effacé,315,176,184,201,WIN_20221204_17_38_42_Pro.jpg,1920,1080
Effacé,559,210,70,147,WIN_20221204_17_38_42_Pro.jpg,1920,1080
Oréo,309,157,346,342,WIN_20221204_17_38_42_Pro.jpg,1920,1080
Effacé,1502,172,133,129,WIN_20221204_17_38_56_Pro.jpg,1920,1080
Effacé,1509,438,131,68,WIN_20221204_17_38_56_Pro.jpg,1920,1080
Oréo,1355,170,393,358,WIN_20221204_17_38_56_Pro.jpg,1920,1080
Effacé,1298,612,180,129,WIN_20221204_17_38_59_Pro.jpg,1920,1080
Effacé,1204,847,109,94,WIN_20221204_17_38_59_Pro.jpg,1920,1080
Oréo,1146,595,366,360,WIN_20221204_17_38_59_Pro.jpg,1920,1080
Effacé,987,581,104,141,WIN_20221204_17_39_01_Pro.jpg,1920,1080
Effacé,780,608,66,129,WIN_20221204_17_39_01_Pro.jpg,1920,1080
Oréo,776,483,328,336,WIN_20221204_17_39_01_Pro.jpg,1920,1080
Effacé,407,386,135,133,WIN_20221204_17_39_07_Pro.jpg,1920,1080
Oréo,301,251,356,336,WIN_20221204_17_39_07_Pro.jpg,1920,1080
Effacé,323,167,119,149,WIN_20221204_17_39_14_Pro.jpg,1920,1080
Oréo,252,32,338,350,WIN_20221204_17_39_14_Pro.jpg,1920,1080
Effacé,1021,305,98,135,WIN_20221204_17_39_18_Pro.jpg,1920,1080
Oréo,939,200,342,342,WIN_20221204_17_39_18_Pro.jpg,1920,1080
